laborant_ID,subject_ID,handlengte,handbreedte,sexe
8413,1,192,81,m
1047,1,211,81,m
1047,2,192,79,v
8413,2,166,75,v
1047,3,239,87,m
8413,3,206,84,m
1047,4,229,88,m
8413,4,192,80,m
8413,5,190,78,v
1047,5,195,78,v
8413,6,197,87,m
1047,6,205,90,m
8413,7,158,73,v
1047,7,175,79,v
8413,8,172,78,v
1047,8,181,82,v
1047,9,183,75,v
8413,9,184,71,v
1047,10,194,85,v
8413,10,173,80,v
1047,11,201,95,m
8413,11,204,90,m
1047,12,195,86,m
8413,12,185,80,m
1047,13,207,93,m
8413,13,200,90,m
1047,14,199,86,m
8413,14,172,88,m
1047,15,183,87,m
8413,15,187,82,m
1047,16,206,84,m
8413,16,200,81,m
1047,17,189,79,v
8413,17,190,77,v
1047,18,181,81,v
8413,18,180,81,v
1047,19,194,79,v
8413,19,190,76,v
1047,20,187,84,v
8413,20,188,85,v
1047,21,203,91,m
8413,21,180,84,m
1047,22,189,74,v
8413,22,178,67,v
1047,23,184,70,v
8413,23,185,65,v
1047,24,191,77,m
8413,24,199,81,m
1047,25,162,84,m
8413,25,155,85,m
1047,26,187,80,v
8413,26,189,80,v
1047,27,205,86,m
8413,27,205,86,m
1047,28,188,79,v
8413,28,185,75,v
1047,29,189,83,v
8413,29,175,70,v
1047,30,186,77,v
8413,30,172,77,v
1047,31,191,86,v
8413,31,186,85,v
1047,32,199,89,m
8413,32,196,82,m
1047,33,205,86,m
8413,33,185,75,m
1047,34,200,86,m
8413,34,186,84,m
1047,35,164,80,v
8413,35,160,75,v
1047,36,166,71,v
8413,36,158,68,v
1047,37,183,80,v
8413,37,167,82,v
1047,38,197,80,m
8413,38,185,76,m
1047,39,210,84,m
8413,39,192,82,m
1047,40,226,88,m
8413,40,230,90,m
